               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.022352,           0.0055825,                   0,              0.9318,             0.81973,             0.85492,             0.49268,            0.030861,           0.0041622,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022515,             0.00575,                   0,             0.91994,                0.82,              0.8534,             0.49154,              0.0305,           0.0043407,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.023149,           0.0057251,                   0,             0.92843,                 0.8,             0.84938,             0.48799,            0.030457,           0.0044594,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.021995,           0.0057236,                   0,             0.90447,                 0.8,               0.875,             0.48333,            0.031526,           0.0044904,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.022949,           0.0057386,                   0,             0.89093,             0.81694,              0.8567,             0.50489,            0.030844,           0.0046863,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.022669,           0.0056727,                   0,             0.88916,             0.80223,              0.8457,             0.46541,            0.031343,           0.0047092,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.023362,           0.0056892,                   0,             0.89115,                0.82,             0.84475,             0.48442,            0.031389,           0.0046215,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.023669,           0.0058217,                   0,             0.90483,                0.82,             0.84568,             0.47319,            0.029973,           0.0044472,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.023276,           0.0061293,                   0,             0.91219,                0.86,             0.86875,             0.47425,            0.032227,           0.0044911,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.021802,           0.0054593,                   0,             0.89325,             0.83685,             0.84671,             0.44626,            0.032033,           0.0044176,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.021843,           0.0057488,                   0,             0.92244,                0.84,             0.85523,             0.43407,            0.030486,           0.0043961,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.02128,           0.0055948,                   0,             0.90451,                0.82,             0.84488,             0.47342,            0.031262,           0.0044522,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.022659,           0.0055865,                   0,             0.90737,                0.84,             0.86541,             0.46694,            0.030501,           0.0045659,                   0,            0.007129,            0.007129,            0.007129
                  89,              0.0218,           0.0056749,                   0,             0.88632,                0.82,             0.85388,              0.5073,            0.029769,           0.0044635,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.02021,           0.0055898,                   0,             0.89346,             0.83865,             0.84176,             0.47481,            0.030935,           0.0044714,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.020695,           0.0053504,                   0,              0.9048,                0.82,             0.83849,             0.45888,             0.03054,           0.0044504,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.020393,           0.0051054,                   0,              0.9055,                0.82,             0.85286,              0.4581,            0.030181,           0.0045056,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.021748,           0.0056882,                   0,             0.90584,                0.82,              0.8579,             0.49271,            0.028777,           0.0044366,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.020987,           0.0055864,                   0,             0.90099,                0.82,             0.87007,             0.50553,            0.029841,           0.0044281,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.021033,           0.0054195,                   0,             0.92436,                 0.8,              0.8632,             0.51476,            0.028738,           0.0044327,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.020779,           0.0058238,                   0,             0.91057,             0.81468,             0.85503,             0.48176,            0.029429,           0.0046092,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.019798,           0.0055161,                   0,             0.91888,                0.82,             0.86782,             0.51023,            0.029053,           0.0045499,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.020416,           0.0049919,                   0,             0.94861,                0.82,             0.89339,             0.49008,             0.03188,           0.0045781,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.020366,           0.0055744,                   0,             0.94484,                0.82,             0.87334,             0.50684,            0.029117,           0.0044523,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.020956,            0.005229,                   0,              0.9171,                 0.8,              0.8604,             0.49485,            0.030093,           0.0044466,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.019512,           0.0051638,                   0,              0.9112,                0.84,             0.86105,             0.48765,            0.029553,           0.0045415,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.021924,           0.0054113,                   0,             0.91243,             0.83361,             0.89498,             0.50881,            0.029906,           0.0045197,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.020764,           0.0054165,                   0,             0.91225,                0.84,             0.89941,             0.51734,            0.029487,           0.0043636,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.020361,           0.0051905,                   0,             0.95025,                 0.8,             0.87024,             0.51254,            0.030145,            0.004435,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.020913,           0.0051517,                   0,             0.92473,                 0.8,             0.85851,             0.46717,            0.033433,           0.0046538,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021237,           0.0052516,                   0,             0.92192,                 0.8,              0.8544,             0.47899,            0.032542,           0.0045623,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.019821,           0.0053037,                   0,             0.90949,                0.82,             0.85929,             0.49266,            0.030354,           0.0045235,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.01928,           0.0052085,                   0,             0.92678,                0.84,             0.87009,             0.50785,            0.029977,           0.0045127,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.019164,           0.0052305,                   0,             0.90878,                0.84,             0.88739,             0.48849,            0.030275,           0.0046048,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.020968,           0.0054691,                   0,             0.88382,                0.82,             0.86983,             0.51199,            0.031533,           0.0046191,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.020795,           0.0052216,                   0,             0.88861,                0.82,             0.88102,             0.49857,             0.03074,           0.0044597,                   0,             0.00637,             0.00637,             0.00637
