               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,             0.02426,           0.0061565,                   0,             0.91153,                0.84,             0.86168,             0.47269,            0.032397,           0.0043146,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.024121,           0.0062266,                   0,             0.96653,                0.84,             0.90414,             0.48044,            0.030823,           0.0042538,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.024666,           0.0060049,                   0,             0.89505,             0.85289,             0.87389,             0.47598,             0.03117,           0.0043098,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.025255,           0.0061085,                   0,             0.93168,                0.84,             0.87917,             0.48846,            0.031518,            0.004357,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.025953,           0.0063958,                   0,             0.92913,                0.82,             0.85907,             0.46498,            0.030927,           0.0043524,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025092,           0.0065572,                   0,             0.96799,                0.82,             0.87928,             0.46317,            0.034019,           0.0046373,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.023311,           0.0060075,                   0,             0.89727,             0.87351,             0.89316,             0.46753,             0.03169,            0.004509,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.023799,           0.0062339,                   0,             0.93227,             0.82593,             0.87246,              0.4798,             0.03186,           0.0044685,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.023408,           0.0061004,                   0,             0.92761,                0.86,             0.87665,             0.46591,            0.032821,             0.00443,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.023521,            0.005983,                   0,             0.89315,                0.86,              0.8792,             0.47222,            0.031243,           0.0043759,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.022864,           0.0060814,                   0,             0.87381,                0.84,             0.83647,             0.44823,            0.031173,           0.0043967,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022445,           0.0060914,                   0,             0.91247,                0.88,             0.89389,              0.4793,            0.030967,           0.0043835,                   0,            0.007063,            0.007063,            0.007063
                  91,             0.02385,           0.0059681,                   0,              0.9531,                 0.9,             0.91925,             0.47668,            0.032105,            0.004322,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.02339,           0.0056988,                   0,             0.94486,                0.86,              0.8881,             0.46964,            0.032462,           0.0043251,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.024437,           0.0061292,                   0,             0.91184,                0.86,             0.87324,             0.51405,             0.03076,           0.0042094,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.023592,           0.0061078,                   0,             0.96401,                0.82,             0.89892,             0.52489,            0.029733,           0.0041692,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022868,           0.0058824,                   0,              0.9281,                0.84,             0.90154,             0.54666,            0.028901,           0.0040869,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.023106,           0.0062825,                   0,             0.93579,             0.87454,             0.90496,             0.50307,            0.030911,           0.0043719,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.02156,           0.0060655,                   0,             0.95544,             0.85767,             0.90779,             0.51158,             0.03041,           0.0042399,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.023329,           0.0053824,                   0,             0.98529,                0.84,             0.91369,             0.48138,             0.03204,           0.0041692,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.022055,           0.0059411,                   0,                   1,             0.83847,             0.90648,             0.49579,             0.03118,           0.0041927,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.023009,           0.0058419,                   0,             0.98208,                0.82,             0.88284,             0.49771,            0.031383,           0.0043788,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.022889,           0.0057212,                   0,             0.92989,                0.86,             0.88348,             0.47461,            0.031009,            0.004538,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.023107,           0.0057651,                   0,             0.92699,                 0.8,             0.85813,             0.48726,            0.031684,           0.0046248,                   0,            0.006667,            0.006667,            0.006667
                 103,             0.02275,           0.0059582,                   0,             0.91464,             0.85729,             0.88254,             0.50454,            0.030578,           0.0045351,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.021707,           0.0056675,                   0,             0.92246,                0.82,             0.89785,             0.51496,            0.029828,           0.0044714,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.022912,           0.0056611,                   0,             0.90806,                0.84,             0.89044,             0.48341,            0.031383,           0.0046153,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021136,           0.0054364,                   0,             0.91185,                0.84,              0.8674,             0.46666,            0.031362,           0.0046402,                   0,            0.006535,            0.006535,            0.006535
                 107,              0.0219,           0.0057052,                   0,             0.90702,                0.84,             0.87837,             0.48901,            0.031243,           0.0045125,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.021219,           0.0057035,                   0,             0.88785,                0.82,              0.8661,             0.48066,            0.031628,           0.0045407,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.021723,           0.0057729,                   0,             0.89321,             0.83648,             0.87024,             0.50332,            0.031654,            0.004461,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021463,             0.00596,                   0,             0.89223,                0.86,             0.89756,             0.47693,            0.032607,           0.0043844,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.021987,           0.0056448,                   0,              0.8848,                0.82,             0.85525,             0.47201,            0.031286,           0.0044692,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.021549,           0.0056687,                   0,             0.88268,                 0.8,             0.85967,             0.48816,            0.032129,           0.0045853,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.021474,           0.0058927,                   0,             0.88119,                0.84,             0.85835,             0.46972,            0.030827,           0.0044349,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.019984,           0.0055683,                   0,             0.91069,                0.86,             0.87482,             0.45692,            0.031589,              0.0045,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.020492,            0.005559,                   0,             0.93206,             0.82325,             0.86982,              0.4772,            0.031205,           0.0046037,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.021493,           0.0057218,                   0,             0.89003,                0.86,             0.89195,             0.50249,            0.029925,           0.0044986,                   0,            0.006205,            0.006205,            0.006205
